,uid,variable1,variable2,coefficient,k1,k2
29490,29490,Country of birth: Europe: United Kingdom; measures: Value,"Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",-0.9716372088573278,TS004,TS025
128339,128339,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",-0.9716311166014003,TS018,TS021
153441,153441,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Multiple main languages in household: Main language differs between generations, but not within partnerships",-0.9714832499342165,TS025,TS026
213767,213767,Disability: Not disabled under the Equality Act,Number of disabled people in household: 1 person disabled under the Equality Act in household,-0.9712973565243949,TS038,TS040
28378,28378,Country of birth: Europe; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,-0.9712240137600971,TS004,TS016
122174,122174,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language",-0.9709534572359723,TS016,TS025
128315,128315,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",-0.9708496833468305,TS018,TS021
117764,117764,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Proficiency in English language: Main language is English (English or Welsh in Wales),-0.9703037383179283,TS015,TS029
128459,128459,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",-0.9702869545262073,TS018,TS021
128338,128338,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value,Ethnic group: White,-0.969955048669123,TS018,TS021
116435,116435,Year of arrival in the UK: Born in the UK; measures: Value,"Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",-0.9694219563064939,TS015,TS016
153541,153541,"Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",Proficiency in English language: Main language is English (English or Welsh in Wales),-0.9694112544897326,TS025,TS029
28385,28385,Country of birth: Europe: United Kingdom; measures: Value,"Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",-0.9694111503553118,TS004,TS016
121895,121895,"Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Age of arrival in the UK: Born in the UK; measures: Value,-0.9694111225622505,TS016,TS018
128785,128785,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language",-0.9691293196484518,TS018,TS025
28578,28578,Country of birth: Europe; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value,-0.969037215999841,TS004,TS018
142947,142947,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Multiple main languages in household: Any other combination of multiple main languages,-0.9690065665164608,TS021,TS026
28584,28584,Country of birth: Europe; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value,-0.9683094981982546,TS004,TS018
117416,117416,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language",-0.9680578056056957,TS015,TS025
128411,128411,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",-0.9678211943576337,TS018,TS021
